#detBytecnt, detRealBegin, detRealEnd, detCaluBegin, detCaluEnd
        17,        22,        17,         7,        17
       -42,       -37,       -42,       -18,       -42
        -2,        -5,        -3,        -1,        -2
        -4,         3,        -4,        -1,        -4
         8,         3,         9,         3,         8
         0,        -3,        -1,         0,         0
       -21,       -26,       -21,        -9,       -21
        25,        34,        26,        11,        25
       -36,       -37,       -37,       -15,       -36
        21,        16,        22,         8,        21
        -7,        -5,        -7,        -3,        -7
        22,        24,        22,        10,        22
       -31,       -35,       -32,       -13,       -31
       -18,       -12,       -18,        -8,       -18
        69,        70,        70,        29,        69
        -8,       -10,        -8,        -3,        -8
       -27,       -28,       -27,       -12,       -27
         4,         7,         4,         2,         4
         1,        -1,         0,         1,         1
       -18,       -21,       -17,        -8,       -18
        27,        20,        27,        11,        27
        13,        21,        13,         6,        13
       -11,       -16,       -11,        -5,       -11
        24,        21,        24,        10,        24
       -48,       -38,       -49,       -20,       -48
        18,        17,        19,         8,        18
       -15,       -13,       -16,        -7,       -15
        13,         9,        13,         6,        13
         8,         3,         9,         3,         8
         8,        12,         8,         4,         8
       -15,       -15,       -16,        -7,       -15
         7,         4,         8,         3,         7
        15,        21,        15,         7,        15
       -36,       -43,       -36,       -16,       -36
        13,        19,        12,         6,        13
        12,         6,        13,         5,        12
        32,        33,        32,        13,        32
       -18,       -12,       -18,        -7,       -18
       -19,       -19,       -19,        -8,       -19
        35,        26,        34,        15,        35
       -52,       -45,       -51,       -22,       -52
         6,         8,         5,         2,         6
       -23,       -18,       -23,       -10,       -23
        10,         9,        10,         5,        10
        36,        34,        37,        15,        36
       -18,       -25,       -18,        -8,       -18
       -26,       -18,       -26,       -11,       -26
        65,        65,        65,        28,        65
       -41,       -44,       -41,       -18,       -41
        -5,       -13,        -5,        -2,        -5
        15,        22,        14,         7,        15
        11,         2,        12,         4,        11
         1,         7,         1,         1,         1
       -13,        -9,       -14,        -6,       -13
       -12,       -11,       -12,        -5,       -12
        22,        19,        22,         9,        22
       -25,       -27,       -24,       -10,       -25
        -7,        -4,        -8,        -3,        -7
        -7,        -8,        -6,        -3,        -7
        30,        39,        29,        13,        30
         3,         0,         3,         1,         3
       -28,       -32,       -27,       -12,       -28
        35,        31,        35,        15,        35
       -64,       -55,       -64,       -27,       -64
        79,        73,        78,        33,        79
       -26,       -24,       -26,       -11,       -26
        -3,        -9,        -3,        -1,        -3
         5,         8,         6,         2,         5
       -19,       -21,       -20,        -8,       -19
        55,        58,        56,        23,        55
       -18,       -23,       -19,        -7,       -18
        -9,        -7,        -9,        -4,        -9
       -41,       -31,       -41,       -17,       -41
         2,        -1,         2,         0,         2
         9,         6,         9,         4,         9
        48,        49,        48,        20,        48
       -70,       -70,       -70,       -29,       -70
        34,        37,        35,        14,        34
       -13,       -19,       -13,        -5,       -13
        14,        14,        14,         6,        14
       -17,        -9,       -17,        -8,       -17
       -17,       -20,       -17,        -7,       -17
        47,        44,        46,        20,        47
       -21,       -15,       -21,        -9,       -21
        24,        21,        24,        10,        24
        25,        21,        25,        11,        25
       -40,       -43,       -39,       -17,       -40
        19,        25,        19,         8,        19
        -4,        -5,        -4,        -2,        -4
       -21,       -19,       -21,        -8,       -21
        15,        16,        14,         6,        15
         6,        -4,         7,         2,         6
        10,         8,         9,         5,        10
       -23,       -16,       -23,       -10,       -23
       -55,       -49,       -54,       -23,       -55
         7,         2,         7,         3,         7
        55,        61,        55,        23,        55
        -7,        -8,        -7,        -3,        -7
       -15,       -26,       -15,        -6,       -15
       -20,       -12,       -20,        -9,       -20
        42,        34,        41,        18,        42
        -3,        -1,        -2,        -1,        -3
       -15,       -16,       -16,        -7,       -15
        35,        40,        36,        15,        35
       -61,       -69,       -61,       -26,       -61
        -2,         0,        -2,        -1,        -2
        69,        75,        69,        30,        69
       -40,       -36,       -41,       -17,       -40
         7,       -10,         8,         3,         7
       -36,       -26,       -37,       -16,       -36
        29,        29,        30,        13,        29
        13,        11,        13,         5,        13
         8,        11,         8,         4,         8
       -25,       -21,       -25,       -11,       -25
        -4,        -3,        -4,        -2,        -4
        25,        18,        25,        11,        25
        -5,        -2,        -5,        -2,        -5
        14,        14,        14,         6,        14
         0,       -14,         0,         0,         0
       -32,       -21,       -33,       -14,       -32
        22,        20,        22,         9,        22
       -20,       -16,       -19,        -8,       -20
        -7,        -2,        -7,        -3,        -7
         7,         0,         7,         3,         7
       -16,        -9,       -16,        -7,       -16
        23,        17,        23,        10,        23
        -8,       -10,        -9,        -3,        -8
       -41,       -29,       -40,       -18,       -41
        34,        25,        33,        15,        34
        12,        11,        13,         5,        12
        16,        12,        16,         6,        16
       -14,        -4,       -15,        -5,       -14
        -6,        -9,        -6,        -3,        -6
        53,        50,        54,        22,        53
       -40,       -43,       -40,       -16,       -40
        -6,         6,        -6,        -3,        -6
        11,         3,        10,         5,        11
         7,         6,         8,         3,         7
        -7,        -2,        -8,        -3,        -7
        10,        11,        11,         4,        10
       -45,       -51,       -46,       -19,       -45
        35,        39,        35,        15,        35
       -10,       -17,        -9,        -5,       -10
        23,        28,        22,        10,        23
       -15,       -19,       -15,        -6,       -15
        -9,       -13,        -8,        -4,        -9
       -32,       -20,       -32,       -14,       -32
        18,        18,        17,         8,        18
        11,        11,        11,         5,        11
        19,        15,        19,         8,        19
       -41,       -38,       -41,       -18,       -41
        33,        25,        34,        14,        33
       -24,       -19,       -24,       -10,       -24
        24,        19,        24,        10,        24
        11,        16,        11,         5,        11
       -13,       -12,       -13,        -5,       -13
        -4,        -4,        -4,        -2,        -4
        18,        17,        18,         7,        18
       -21,       -17,       -22,        -8,       -21
        33,        30,        34,        14,        33
        10,        10,        10,         4,        10
        -4,        -4,        -4,        -2,        -4
       -42,       -43,       -42,       -18,       -42
         8,         3,         7,         4,         8
        32,        33,        32,        13,        32
       -20,       -11,       -20,        -8,       -20
       -15,       -13,       -15,        -7,       -15
         1,        -9,         2,         1,         1
        28,        37,        28,        12,        28
         5,         1,         4,         2,         5
       -17,       -20,       -16,        -7,       -17
         4,         9,         4,         1,         4
       -32,       -32,       -32,       -13,       -32
        52,        49,        52,        22,        52
         5,         5,         5,         2,         5
       -40,       -45,       -41,       -17,       -40
        49,        57,        50,        21,        49
       -32,       -38,       -32,       -14,       -32
        26,        26,        25,        11,        26
       -53,       -51,       -53,       -22,       -53
        30,        32,        30,        12,        30
       -22,       -26,       -21,        -9,       -22
       -26,       -25,       -26,       -11,       -26
       -10,        -4,       -11,        -4,       -10
        -4,        -9,        -4,        -2,        -4
       -23,       -18,       -23,       -10,       -23
        61,        64,        61,        26,        61
       -18,       -22,       -17,        -7,       -18
       -43,       -41,       -43,       -19,       -43
        34,        33,        34,        15,        34
       -43,       -50,       -43,       -18,       -43
        30,        33,        29,        12,        30
       -31,       -29,       -31,       -13,       -31
        51,        42,        52,        22,        51
       -45,       -41,       -46,       -19,       -45
        44,        45,        45,        18,        44
         4,         4,         4,         2,         4
       -14,       -15,       -14,        -6,       -14
        -7,        -6,        -7,        -3,        -7
        29,        34,        29,        12,        29
       -65,       -69,       -65,       -27,       -65
        80,        77,        79,        34,        80
       -38,       -35,       -38,       -16,       -38
        16,        11,        17,         6,        16
       -10,        -4,       -11,        -4,       -10
        14,        17,        15,         6,        14
        10,         4,        10,         4,        10
       -28,       -27,       -29,       -11,       -28
         0,         2,         1,         0,         0
        13,        15,        12,         5,        13
        13,        10,        14,         6,        13
         1,         2,         0,         0,         1
        -9,       -12,        -8,        -4,        -9
        26,        26,        26,        11,        26
        36,        37,        35,        15,        36
       -56,       -54,       -56,       -23,       -56
       -10,       -11,        -9,        -5,       -10
        16,        11,        15,         7,        16
         1,         0,         1,         1,         1
        -8,        -3,        -8,        -4,        -8
        21,        19,        22,         9,        21
       -44,       -42,       -45,       -18,       -44
        18,        20,        19,         7,        18
        38,        35,        38,        16,        38
       -77,       -71,       -77,       -32,       -77
        19,        19,        19,         8,        19
        34,        28,        34,        14,        34
       -31,       -31,       -31,       -13,       -31
        46,        50,        46,        19,        46
       -30,       -28,       -31,       -12,       -30
        -6,       -12,        -6,        -3,        -6
        17,        22,        17,         7,        17
        -3,         1,        -2,        -1,        -3
       -42,       -53,       -43,       -18,       -42
        53,        54,        54,        23,        53
       -29,       -25,       -30,       -12,       -29
