# avg10RB: 0.870722      avg10RE: 1.000000     pct5: 476.000000		
# bytecnt, realBegin, caluAddAvgBegin, caluPct5Begin, realEnd, caluAddAvgEnd, caluPct5End
    167518,     72042,     72019,     72496,    167274,    167245,    166769
    167519,     72049,     72010,     72487,    167275,    167235,    166759
    167506,     72040,     71998,     72475,    167261,    167221,    166745
    167494,     72029,     71999,     72476,    167249,    167222,    166746
    167516,     72048,     72029,     72505,    167271,    167256,    166780
    167491,     72021,     71988,     72464,    167247,    167209,    166733
    167484,     72017,     72003,     72480,    167239,    167227,    166751
    167477,     72009,     72003,     72480,    167233,    167227,    166751
    167507,     72048,     72036,     72512,    167262,    167264,    166788
    167510,     72048,     72012,     72489,    167265,    167237,    166761
    167482,     72016,     71985,     72462,    167238,    167206,    166730
    167517,     72047,     72040,     72516,    167273,    167269,    166793
    167453,     71992,     71954,     72430,    167209,    167170,    166694
    167532,     72065,     72078,     72555,    167287,    167313,    166837
    167506,     72041,     71987,     72463,    167261,    167208,    166732
    167503,     72032,     72007,     72483,    167258,    167231,    166755
    167508,     72040,     72014,     72490,    167264,    167239,    166763
    167489,     72019,     71993,     72469,    167244,    167215,    166739
    167544,     72077,     72057,     72534,    167300,    167289,    166813
    167526,     72054,     71994,     72470,    167281,    167216,    166740
    167517,     72047,     72002,     72478,    167272,    167225,    166749
    167476,     72016,     71974,     72450,    167231,    167193,    166717
    167478,     72015,     72011,     72488,    167233,    167236,    166760
